City,TotalVenues
Raleigh,100
Hickory,97
Charlotte,100
Wilmington,82
New Bern,67
Durham,100
Chapel Hill,100
Asheville,100
Boone,65
Fayetteville,83
Greensboro,100
Winston-Salem,86
