City,MedianHomeValue,CulturalVenues,Population,CostOfLivingIndex
Raleigh,221100,51,486000,93
Hickory,178049,46,41000,90.7
Charlotte,252438,55,889000,96.5
Wilmington,196300,39,123000,96.5
New Bern,166815,35,31000,89.3
Durham,256993,48,280000,93
Chapel Hill,396384,40,60000,93
Asheville,307751,63,92000,101.8
Boone,275640,29,21000,89.9
Fayetteville,111100,33,209000,96.5
Greensboro,128500,45,292000,91.6
Winston-Salem,124200,48,247000,92.3
